Nodes,Genes
A_KINETOCHORES,Not_assigned
AKT_B,AKT1
AKT_H,Not_assigned
ATR,ATR
BAD,BAD
BAK,Not_assigned
BAX,BAX
BCL2,BCL2
BCLXL,BCL2L1
BID,BID
BIK,BIK
BIM,BCL2L11
CA2,CA2
CAD,CAD
CASP2,CASP2
CASP3,CASP3
CASP8,CASP8
CASP9,CASP9
CDC20,CDC20
CDC25A,CDC25A
CDC25B,CDC25B
CDC25C,CDC25C
CDC6,CDC6
CDH1,CDH1
CDK1,CDK1
CDT1,CDT1
CHK1,CHEK1
CYCLINA,Not_assigned
CYCLINA_MRNA,CCNA1
CYCLINB,CCNB1
CYCLIND1,CCND1
CYCLINE,CCNE1
CYTO_C,Not_assigned
DAG,Not_assigned
DR4_5,Not_assigned
E2F1,E2F1
ECT2,ECT2
EIF4E,EIF4E
EMI1,Not_assigned
ERK,Not_assigned
F4N_DNA,Not_assigned
FOXM1,FOXM1
FOXO1,FOXO1
FOXO3,FOXO3
G0G1_entry,Not_assigned
G2M_entry,Not_assigned
GEMININ,Not_assigned
GF,Not_assigned
GF_HIGH,Not_assigned
GRB2,GRB2
GSK3,GSK3B
IAPS,Not_assigned
IP3,Not_assigned
MAD2,Not_assigned
MCL_1,Not_assigned
MEK,Not_assigned
MTORC1,MTOR
MTORC2,RICTOR
MYC,MYC
NEDDL4,NEDDL4
ORC,Not_assigned
P110_H,Not_assigned
P21,Not_assigned
P21_MRNA,CDKN1A
P27KIP1,CDKN1B
PAPC,Not_assigned
PDK1,PDK1
PI3K,PIK3CA
PI3K_H,Not_assigned
PIP3,Not_assigned
PLCGAMMA,Not_assigned
PLK1,PLK1
PLK1_H,Not_assigned
PRAS40,AKT1S1
PRB,Not_assigned
PRE_RC,Not_assigned
RAF,BRAF
RAS,KRAS
REPLICATION,Not_assigned
RHEB,RHEB
RTK,Not_assigned
S_entry,Not_assigned
S6K,RPS6KB1
SMAC,Not_assigned
SOS,Not_assigned
TRAIL,TNFSF10
TSC2,TSC2
U_KINETOCHORES,Not_assigned
UBCH10,UBCH10
WEE1,WEE1
